DATE,CGBDL2564
2000-01-01,23625
2000-02-01,23691
2000-03-01,23470
2000-04-01,23708
2000-05-01,23420
2000-06-01,23355
2000-07-01,23558
2000-08-01,23345
2000-09-01,23478
2000-10-01,23582
2000-11-01,23457
2000-12-01,23653
2001-01-01,23662
2001-02-01,23950
2001-03-01,24069
2001-04-01,24121
2001-05-01,24198
2001-06-01,23835
2001-07-01,23947
2001-08-01,23643
2001-09-01,23778
2001-10-01,23821
2001-11-01,23881
2001-12-01,23814
2002-01-01,23957
2002-02-01,24593
2002-03-01,24755
2002-04-01,25150
2002-05-01,25483
2002-06-01,24970
2002-07-01,24766
2002-08-01,24733
2002-09-01,24615
2002-10-01,24595
2002-11-01,24404
2002-12-01,24380
2003-01-01,24717
2003-02-01,24979
2003-03-01,25208
2003-04-01,25547
2003-05-01,25475
2003-06-01,25450
2003-07-01,25437
2003-08-01,25379
2003-09-01,25244
2003-10-01,25797
2003-11-01,25524
2003-12-01,25375
2004-01-01,25442
2004-02-01,25222
2004-03-01,25453
2004-04-01,25593
2004-05-01,25438
2004-06-01,25323
2004-07-01,25452
2004-08-01,25179
2004-09-01,25681
2004-10-01,25805
2004-11-01,25928
2004-12-01,25660
2005-01-01,25662
2005-02-01,25415
2005-03-01,25429
2005-04-01,25902
2005-05-01,25805
2005-06-01,25629
2005-07-01,25483
2005-08-01,25659
2005-09-01,26142
2005-10-01,26322
2005-11-01,26474
2005-12-01,26639
2006-01-01,26481
2006-02-01,26243
2006-03-01,26364
2006-04-01,26396
2006-05-01,26341
2006-06-01,26384
2006-07-01,26674
2006-08-01,26580
2006-09-01,27110
2006-10-01,27014
2006-11-01,27414
2006-12-01,27548
2007-01-01,27507
2007-02-01,27669
2007-03-01,27577
2007-04-01,27539
2007-05-01,27743
2007-06-01,27800
2007-07-01,27835
2007-08-01,27853
2007-09-01,27862
2007-10-01,28028
2007-11-01,28020
2007-12-01,27960
2008-01-01,27812
2008-02-01,28226
2008-03-01,28270
2008-04-01,28056
2008-05-01,27848
2008-06-01,27852
2008-07-01,28042
2008-08-01,28459
2008-09-01,28427
2008-10-01,28716
2008-11-01,28626
2008-12-01,28232
2009-01-01,27998
2009-02-01,27817
2009-03-01,27855
2009-04-01,27835
2009-05-01,28078
2009-06-01,27946
2009-07-01,28407
2009-08-01,28763
2009-09-01,28898
2009-10-01,29186
2009-11-01,28829
2009-12-01,28584
2010-01-01,28573
2010-02-01,28353
2010-03-01,28337
2010-04-01,28138
2010-05-01,28048
2010-06-01,28133
2010-07-01,28478
2010-08-01,28255
2010-09-01,28801
2010-10-01,28624
2010-11-01,28442
2010-12-01,28437
2011-01-01,28232
2011-02-01,28515
2011-03-01,28853
2011-04-01,28759
2011-05-01,28568
2011-06-01,28374
2011-07-01,28338
2011-08-01,28401
2011-09-01,28461
2011-10-01,28695
2011-11-01,28599
2011-12-01,28540
2012-01-01,28918
2012-02-01,29153
2012-03-01,29454
2012-04-01,29319
2012-05-01,29277
2012-06-01,28837
2012-07-01,28987
2012-08-01,29430
2012-09-01,29332
2012-10-01,29713
2012-11-01,29636
2012-12-01,29695
2013-01-01,29690
2013-02-01,29907
2013-03-01,29726
2013-04-01,29874
2013-05-01,29786
2013-06-01,29801
2013-07-01,29973
2013-08-01,29786
2013-09-01,29855
2013-10-01,29963
2013-11-01,29986
2013-12-01,29752
2014-01-01,30306
2014-02-01,30176
2014-03-01,29801
2014-04-01,29964
2014-05-01,30092
2014-06-01,30131
2014-07-01,30279
2014-08-01,29994
2014-09-01,29989
2014-10-01,30195
2014-11-01,30603
2014-12-01,30991
2015-01-01,30788
2015-02-01,31089
2015-03-01,30673
2015-04-01,30424
2015-05-01,30729
2015-06-01,30197
2015-07-01,30622
2015-08-01,30691
2015-09-01,31059
2015-10-01,31278
2015-11-01,31171
2015-12-01,31343
2016-01-01,30993
2016-02-01,31109
2016-03-01,31157
2016-04-01,31069
2016-05-01,31056
2016-06-01,31184
2016-07-01,31216
2016-08-01,31302
2016-09-01,31751
2016-10-01,31908
2016-11-01,31841
2016-12-01,31678
2017-01-01,31647
2017-02-01,31930
2017-03-01,31708
2017-04-01,31762
2017-05-01,32040
2017-06-01,32246
2017-07-01,32793
2017-08-01,32689
2017-09-01,32922
2017-10-01,32965
2017-11-01,32795
2017-12-01,32951
2018-01-01,32721
2018-02-01,33620
2018-03-01,33480
2018-04-01,33275
2018-05-01,33439
2018-06-01,33274
2018-07-01,33639
2018-08-01,33869
2018-09-01,33596
2018-10-01,33719
2018-11-01,34047
2018-12-01,34250
2019-01-01,33900
2019-02-01,34377
2019-03-01,34214
2019-04-01,34166
2019-05-01,33798
2019-06-01,34129
2019-07-01,34243
2019-08-01,33616
2019-09-01,34140
2019-10-01,34248
2019-11-01,34537
2019-12-01,35023
2020-01-01,34985
2020-02-01,35130
2020-03-01,35307
2020-04-01,34790
2020-05-01,34671
2020-06-01,35092
2020-07-01,35438
2020-08-01,35323
2020-09-01,34781
2020-10-01,34500
2020-11-01,34501
2020-12-01,34629
2021-01-01,35236
2021-02-01,35771
2021-03-01,35580
2021-04-01,35069
2021-05-01,34971
2021-06-01,34382
2021-07-01,34802
2021-08-01,34820
2021-09-01,35003
2021-10-01,35173
2021-11-01,35403
2021-12-01,35327
2022-01-01,35770
2022-02-01,36274
2022-03-01,35859
2022-04-01,35920
2022-05-01,35994
2022-06-01,35256
2022-07-01,36046
2022-08-01,36053
